,Chave,Valor
1822,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot72987783354562_-16dot03870161498747_-56dot714188656688655_-16dot027551636203594/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1823,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot74299150935063_-16dot033949674720855_-56dot72303063738631_-16dot022756950772585/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1824,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot71118786203016_-15dot98611246511814_-56dot70452534253343_-15dot97913244238956/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1825,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot70858776131197_-15dot989572899685358_-56dot6884454989477_-15dot968010208604188/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1826,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot67301447606084_-15dot973942213741681_-56dot66619185187244_-15dot966915656332446/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1827,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot70607247851644_-16dot002234099723864_-56dot68682853143628_-15dot987127448418214/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1828,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot81243300815619_-16dot02664649381268_-56dot80009998542595_-16dot013917530569522/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1829,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot510509241163625_-16dot091621515961325_-56dot492050005103636_-16dot06608936189233/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1830,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot70247921737997_-16dot105904728978828_-56dot689320906734395_-16dot095292039296098/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1831,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot85149142588801_-16dot40648102304522_-52dot84165220088829_-16dot398776510773576/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot85149142588801_-16dot40648102304522_-52dot84165220088829_-16dot398776510773576/eopatch_0_col-0_row-0' does not exist
1832,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-55dot245771152651756_-16dot21145677486286_-55dot23667816828214_-16dot203351937305793/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1833,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-53dot54975189623409_-17dot131511288858082_-53dot53670632461436_-17dot115123677515673/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1834,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-53dot70929237594236_-17dot13411640318203_-53dot67193062773829_-17dot11613009749964/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1835,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot89192476223708_-2dot9295958045705306_-54dot88114694977185_-2dot91996383103047/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot89192476223708_-2dot9295958045705306_-54dot88114694977185_-2dot91996383103047/eopatch_0_col-0_row-0' does not exist
1836,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot338113389577394_-2dot7151623618535248_-54dot33533956327016_-2dot7126261467843165/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot338113389577394_-2dot7151623618535248_-54dot33533956327016_-2dot7126261467843165/eopatch_0_col-0_row-0' does not exist
1837,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot89201459376548_-2dot673486117068062_-54dot87714166795359_-2dot6588379911802296/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1838,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot89920111603844_-2dot668275888420192_-54dot89520330071358_-2dot6629782191570226/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot89920111603844_-2dot668275888420192_-54dot89520330071358_-2dot6629782191570226/eopatch_0_col-0_row-0' does not exist
1839,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot88087548424241_-2dot681475536866502_-54dot87525520596296_-2dot673121205579168/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot88087548424241_-2dot681475536866502_-54dot87525520596296_-2dot673121205579168/eopatch_0_col-0_row-0' does not exist
1840,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot89408071891896_-2dot662706333658579_-54dot891635267651836_-2dot658568495839306/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1841,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot906207975254574_-2dot6955646963256616_-54dot90052858896462_-2dot692240906506186/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1842,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-09-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot900009599794146_-2dot703220352972452_-54dot88771762326968_-2dot6943968631880875/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
